video_name,x_2D_shot,y_2D_shot,x_2D_rebound,y_2D_rebound
OFF REB (790),375.6264693654432,239.6192314739024,242.57193071493936,284.0544003212953
OFF REB (790),330.34644226573084,269.648158041866,,
OFF REB (910),836.1355779164656,265.3307790252394,1031.5704298938242,394.9612939534496
OFF REB (728),926.3988955245366,539.425609833867,965.8313723232526,524.3855407866625
OFF REB (793),175.68589478530174,294.4180819981934,189.68816178763598,441.91628471138034
OFF REB (793),,,,
OFF REB (33),193.53485829102289,385.4072380734943,192.9573362994226,394.95247067660347
OFF REB (33),189.92084141882916,353.54665993536815,180.10707042040744,335.78760470687814
OFF REB (39),1038.3039461367382,398.87242362176147,1004.5637864672374,383.7207147193694
OFF REB (53),909.3110026732512,146.12398362858332,1031.0627378210902,394.5914944969825
OFF REB (53),1043.8620491582308,399.6224888919742,1032.9003745491764,395.0678813353983
OFF REB (66),278.86616465059154,388.26015369719755,177.86921372032867,271.9868278837031
OFF REB (68),190.28847039269755,427.7683714606139,192.8868474826302,412.3641425802397
OFF REB (87),,,1002.3230980309147,233.9413469540312
OFF REB (90),169.09329085430267,338.4307104242102,219.31136889860417,388.9285832219817
OFF REB (93),386.57349021378343,962.0497459421841,228.04271699350332,340.2389072358877
OFF REB (109),376.7417410327493,493.013518168396,323.24919260911497,341.60546627969865
OFF REB (114),188.33298408990746,394.8140853135612,242.65977455466285,113.43122286634096
OFF REB (121),1038.8664659948918,301.8755323424436,1022.2904840882786,392.4586942510471
OFF REB (121),1023.3488209015214,392.3193400275805,1028.0104485379088,394.6195330690621
OFF REB (123),860.5376708747848,511.98187986242556,820.4969521485752,556.1721332461644
OFF REB (142),1013.3597807647155,188.51428107032413,,
OFF REB (147),1023.9165108587981,274.86520536357415,1036.4084152605487,398.9732055305822
OFF REB (147),1036.448080192218,473.01002385276615,1006.4830306496505,387.809858429063
OFF REB (154),236.5841415579972,420.39991468546856,195.9113341972265,397.0946904214102
OFF REB (154),196.98753380935227,397.53821582329357,466.8936848996969,294.3558720493077
OFF REB (155),191.09525246020658,309.8634668761551,188.61859157264539,398.8299512531439
OFF REB (183),378.1393706223277,294.5166178725425,253.0793698080937,318.5351911536543
OFF REB (192),,,410.68585313551654,36.38576890030834
OFF REB (192),415.456592457256,43.90273372717418,177.72792544639705,428.04830276287714
OFF REB (192),213.32614934600193,409.0213585715125,190.2265548201692,396.802459078595
OFF REB (247),215.52799289515366,527.3917378895176,250.48606456833085,389.4871067740997
OFF REB (248),330.00006198034464,430.7039266451534,229.39724207550844,365.9380233182072
OFF REB (281),919.0013313709555,645.1522771888871,,
OFF REB (298),375.9074877489292,259.91896884803566,202.59613888422203,393.41346184069903
OFF REB (298),181.813632947057,403.4530874330862,189.04999747268488,399.1664868439503
OFF REB (320),1037.1233462967164,341.49130311325143,1020.6245320341724,392.4661498352773
OFF REB (327),919.0013313709555,645.1522771888871,,
OFF REB (344),375.9074877489292,259.91896884803566,202.59613888422203,393.41346184069903
OFF REB (344),181.813632947057,403.4530874330862,189.04999747268488,399.1664868439503
OFF REB (366),1037.1233462967164,341.49130311325143,1020.6245320341724,392.4661498352773
OFF REB (371),905.6244928967506,363.13658252275457,996.4007833862776,373.31207202979306
OFF REB (376),186.8176122915488,241.50585429813998,187.92823599206633,327.76062673594714
OFF REB (391),1008.1089685756169,637.5763583141176,1044.064225360255,336.44012682121195
OFF REB (406),366.1216882958293,216.95607279786242,186.16316671101828,595.7587660382626
OFF REB (421),,,972.4456012183815,336.58356165223734
OFF REB (423),1035.6768418969102,-7.895336700833547,1047.0307265770152,401.1578946376682
OFF REB (442),,,994.4735911446679,377.5020325886453
OFF REB (442),1016.0017880408207,731.9613896143948,,
OFF REB (458),1003.921999064725,601.1239979333753,1033.844178132042,395.0900051617202
OFF REB (458),1041.1560886856187,295.70943251253976,857.100966374224,536.696650503506
OFF REB (460),956.7931714036857,321.6785905211466,1018.193440959125,390.0165186771774
OFF REB (460),1018.193440959125,390.0165186771774,1040.0860211916604,291.21777669319283
OFF REB (460),1039.3834894314239,312.7818237693399,1049.3764350980632,303.3781811352762
OFF REB (461),918.4039744417521,191.6114152645399,975.8724110493926,378.8466315751244
OFF REB (469),189.9695734921856,445.4410167004265,194.15659151016118,396.5962991316958
OFF REB (469),194.15659151016118,396.5962991316958,206.1608285767128,391.8349116037269
OFF REB (480),295.4338012136602,303.95280126436967,222.5009960939167,326.9752515689231
OFF REB (492),789.0779004525307,292.92911749498364,985.448052889719,303.8251741644968
OFF REB (493),312.6850092760262,428.94899995509144,242.2147891612068,280.1130000795084
OFF REB (503),937.2100284165733,294.04177090962145,,
OFF REB (503),1071.6979110466245,267.19478906735645,,
OFF REB (508),199.16069324561303,358.1110936023437,200.00316887855365,393.193273463863
OFF REB (508),240.71850001955747,402.7616912940339,,
OFF REB (536),1044.7210280838667,505.1456077800679,1032.3465950569378,394.8910766629778
OFF REB (537),1035.905495458411,396.70238353401504,1024.2823956767415,390.7597053890152
OFF REB (558),,,1012.6730876973687,395.3019756379513
OFF REB (559),997.8242949068939,95.78376686048054,,
OFF REB (559),1101.412842337623,117.6665267604532,1024.4195459103935,390.4967277235419
OFF REB (563),868.283097921676,181.1920461395474,1019.2698092586421,396.7551520625647
OFF REB (563),1023.454311668065,387.1651924514294,810.9087963649897,313.2473050162487
OFF REB (564),203.12103813716573,392.73329980133104,219.26173707987428,312.0870974600143
OFF REB (566),206.61988349471955,391.22349605939826,202.17193485777264,390.8100174011762
OFF REB (566),180.3276774456715,295.21118026303907,202.1623500989768,323.47005705399755
OFF REB (567),180.31603336498208,282.1346447068737,190.6140598678998,345.60974153727017
OFF REB (567),181.70631864789738,348.57860073495607,192.63615975615733,395.08718197861145
OFF REB (577),980.9826178293645,477.73272262376133,1021.5620391302086,373.838280794552
OFF REB (584),364.67478570218645,542.9501169729047,242.66723612632282,320.4843430760458
OFF REB (584),183.43045881738476,406.1991516571595,135.75230408618654,343.42806200423433
OFF REB (614),915.5008534303457,510.01053751535756,1200.8323470984312,296.0330189516913
OFF REB (615),1042.693721223298,-270.7339462085645,985.8319305180185,290.4155773186262
OFF REB (624),1037.2095683369694,331.46941054646845,1120.9336919630596,333.4512148753276
OFF REB (624),1041.9654976815466,422.8232216767564,1033.29115772735,398.1586605183524
OFF REB (643),1020.0679038929638,83.69795486806066,992.7417080798117,304.7400337204842
OFF REB (668),215.30377441832613,337.25428834499075,192.90545656206444,396.7566558358761
OFF REB (677),944.9553001558571,544.8259951288461,1039.7066780083128,314.2730256486552
OFF REB (690),220.42186066135466,219.6699327704749,211.08262030809328,335.5306464956864
OFF REB (690),212.41505238275775,331.83479560623374,192.7388665476955,312.46569536857504
OFF REB (690),176.17001876363835,360.6975598649719,,
OFF REB (691),220.42186066135466,219.6699327704749,211.08262030809328,335.5306464956864
OFF REB (691),212.41505238275775,331.83479560623374,192.7388665476955,312.46569536857504
OFF REB (691),176.17001876363835,360.6975598649719,,
OFF REB (694),1048.0387029810677,309.8939726374987,1028.6917644697155,394.7600491251369
OFF REB (694),,,1032.7898435561763,395.7138873838603
OFF REB (700),,,1103.1704297566835,47.1487419414878
OFF REB (700),1108.9469746077752,39.793749474302714,1121.956250573276,34.744502031478504
OFF REB (707),187.60449153659894,247.0608701814929,172.56866181793097,277.0855050198279
OFF REB (712),930.8864480912117,480.66932243916244,1000.5677668144926,395.29502478186896
OFF REB (717),1028.3020358204406,393.88657260031067,982.0010147398901,326.61169558261554
OFF REB (718),948.4182792327523,127.2539790542573,1032.0333159136753,395.6670499821488
OFF REB (770),229.06776882359188,616.2109387462177,203.71289159580374,336.8471583781625
OFF REB (832),288.97978396520443,363.3694818957345,178.26240341907302,301.41289001736266
OFF REB (832),205.94023340690825,365.46711965452414,182.14756111490888,390.8226178028708
OFF REB (851),375.6264693654432,239.6192314739024,242.57193071493936,284.0544003212953
OFF REB (851),330.34644226573084,269.648158041866,,
OFF REB (854),175.68589478530174,294.4180819981934,189.68816178763598,441.91628471138034
OFF REB (854),,,,
OFF REB (893),288.97978396520443,363.3694818957345,178.26240341907302,301.41289001736266
OFF REB (893),205.94023340690825,365.46711965452414,182.14756111490888,390.8226178028708
OFF REB (951),843.7742786110877,162.65643630226091,1045.2784251226183,562.330539423107
OFF REB (967),1005.9598725150902,487.2075312291077,1035.0256901064306,287.24034274662154
OFF REB (981),954.3409047958754,138.60648603804665,1037.1717834625344,397.22771799779815
OFF REB (983),924.4396224150343,637.1568379394711,1032.513933362765,324.2138537880752
OFF REB (997),1029.4159635152716,638.126211268672,1029.361921851501,394.3459687190948
OFF REB (1015),899.8182988807932,516.7588621071675,1025.4853270997044,393.7767603781255
OFF REB (1015),1038.1408802989768,481.80803912431196,,
OFF REB (1050),,,1032.5960152558605,311.0726645196184
OFF REB (1072),208.87580170799643,363.06953644445247,198.2750090778276,373.7622830615428
OFF REB (1072),,,190.02407976354974,393.054666772591
OFF REB (1073),208.87580170799643,363.06953644445247,198.2750090778276,373.7622830615428
OFF REB (1073),,,190.02407976354974,393.054666772591
OFF REB (1090),236.13903782021484,108.71052759754606,195.5683947179958,275.1757908295813
OFF REB (1090),196.4288388512263,395.9011744592795,189.62975310156986,397.2391362720291
OFF REB (1091),931.4723339282091,148.84112598166863,1025.6242054399856,393.6023403250945
OFF REB (1091),1027.531348420606,392.8799875095068,1033.949145137216,395.6065790552788
OFF REB (1133),185.5266466377294,410.58857042143933,165.65154468135,491.1083426896204
OFF REB (1133),162.5672872733519,485.8442884940771,192.48561057686294,330.44241563396986
OFF REB (1133),192.48561057686294,330.44241563396986,193.49716525696843,394.8630413525042
OFF REB (1134),185.5266466377294,410.58857042143933,165.65154468135,491.1083426896204
OFF REB (1134),162.5672872733519,485.8442884940771,192.48561057686294,330.44241563396986
OFF REB (1134),192.48561057686294,330.44241563396986,193.49716525696843,394.8630413525042
OFF REB (1143),1556.2023930361981,820.7124018927166,764.647179517658,-43.310037681312885
OFF REB (1143),1018.5159806588046,396.83984885811964,,
OFF REB (1146),933.1467681846775,351.11490330098235,1009.8761368365992,383.0262148433318
OFF REB (1146),1116.7521740382708,255.17109711673686,1027.7888439067756,394.6333376718352
OFF REB (1180),293.8654431810228,319.9805729533579,220.4341558753965,352.4146271364381
OFF REB (1182),282.42191203960664,621.8325199391464,194.74776754524063,394.2209330637856
OFF REB (1187),264.80307623544974,452.4585491531343,191.65725903617889,396.6407824798053
OFF REB (405),206.9109770737068,580.5329624786069,201.7790820930497,283.7976702195442
OFF REB (408),176.0792598159917,86.58237007055037,183.60970907623437,397.8687951027599
OFF REB (431),1035.2819508546008,294.52020898408574,1029.2025891457365,396.0046219329289
OFF REB (430),1040.489582452998,397.5174106754933,1022.9787206353554,391.58406987241926
OFF REB (430),1030.651110502747,344.90993754096405,980.5536619715856,242.08668976354656
OFF REB (400),325.42881490429266,263.59810227059927,197.1579931734776,398.5629994845246
OFF REB (422),931.9815148587792,121.27483503691847,1046.8664730444652,401.66478295518135
OFF REB (4),328.805259004088,423.2465418368107,170.0592326708787,399.0978437619135
OFF REB (40),1038.3039461367382,398.8724236217615,1004.5637864672374,383.7207147193694
OFF REB (40),819.1987368385663,134.85251111755792,999.5740432024588,412.25259835992
OFF REB (413),851.4001513293198,429.46832049086896,1055.1028197468663,279.90111562608206
OFF REB (413),1054.9203104007229,307.9001096239341,1022.484390674265,456.8390414032508
OFF REB (380),1008.9859628321824,396.5942151490536,1034.3638023260437,429.5736775326091
OFF REB (51),1032.8811348532367,333.3675595897477,1020.7711043739754,337.99722080745346
OFF REB (502),995.3584852689398,294.65016178696595,1043.931205450296,404.1623308395585
OFF REB (502),1024.1885151831905,363.7815491601369,1029.8442480291808,398.39708607516
OFF REB (489),906.5744601982556,296.4322768712329,983.0915274920628,317.5249740703478
OFF REB (55),801.1590211257455,239.4503048899261,1033.3571999902872,354.4595970846394
OFF REB (55),1033.858265280913,397.0679644940149,,
OFF REB (52),1042.7040293438342,399.0782641258464,1031.677377016353,341.44704169665727
OFF REB (52),1011.3460143884588,348.5640055744395,,
OFF REB (497),227.40197496883252,266.7706993798293,201.40626008341093,394.2273777674601
OFF REB (497),194.7746242183117,355.8353160448908,247.40528778047957,318.4118701787817
OFF REB (520),814.9246660841097,154.97151038216347,1026.760907214316,393.79094876760655
OFF REB (520),,,978.4833193975544,375.87639439222255
OFF REB (487),802.9246064921109,416.3241905004085,1015.5268177489158,263.75672251829536
OFF REB (487),1027.1541234525605,-327.4010023502382,,
OFF REB (473),872.8948479645398,158.91397406305188,974.9253488993352,361.4219711973492
OFF REB (473),1001.6564562211772,417.4752894649613,1015.3266356109282,320.66640138902113
OFF REB (454),202.88623506382373,209.18822554160448,171.58341615510443,281.976945588989
OFF REB (472),392.85301451737473,289.4929643465823,247.06777032066296,174.19208937852997
OFF REB (472),183.6597109511246,399.5165109323831,195.35781362000537,396.29726440926106
OFF REB (445),1025.1208816252288,391.78701777648473,1058.1420736650675,224.124811705582
OFF REB (445),1020.72513073454,395.52440773572863,,
OFF REB (433),982.358405678056,378.5863794586958,1030.593170863329,393.7819140471861
OFF REB (433),1040.4890249072082,399.3583625242031,1034.1944846211468,395.91006415507536
OFF REB (432),982.358405678056,378.5863794586958,1030.593170863329,393.7819140471861
OFF REB (432),1040.4890249072082,399.3583625242031,1034.1944846211468,395.91006415507536
OFF REB (437),800.2418043221173,308.36451832526666,,
OFF REB (612),923.479847547621,1082.0697948821294,976.0535446000996,282.8480374497051
OFF REB (595),875.7407834525291,98.01501212336348,936.075291195815,249.66814501875723
OFF REB (595),996.1192540687993,345.6742722887788,1025.739745929021,449.7467550195426
OFF REB (595),1027.4707415939652,447.6958101313257,,
OFF REB (575),1037.3371080423992,396.10881891272777,1009.200604075122,315.5627393120177
OFF REB (61),955.6809304090756,304.835059760576,1022.8827468849232,379.442137050676
OFF REB (61),1058.1067841769843,372.3884260609234,1028.8511006759063,393.4611278390824
OFF REB (596),275.39798566403937,319.0050267674817,193.7193047911964,352.78589060282684
OFF REB (6),386.4826533421573,388.8105339190328,258.71172593948813,250.1877774569128
OFF REB (56),801.1590211257455,239.4503048899261,1033.3571999902872,354.4595970846394
OFF REB (56),1033.858265280913,397.0679644940149,,
OFF REB (562),1020.451038712342,64.98923698673684,1046.644535519877,401.1730183649872
OFF REB (23),312.7968686089956,364.08583660122736,193.18406313094368,348.6067534684412
OFF REB (24),312.7968686089956,364.08583660122736,193.18406313094368,348.6067534684412
OFF REB (26),,,267.72984676291725,263.3443637445528
OFF REB (26),199.30199078912656,265.7291866001161,196.44094589707544,396.05498800625486
OFF REB (26),193.61158463166552,397.0225118440633,198.34325068718303,395.04427916944405
OFF REB (28),990.6981805623788,124.22264359823126,1033.2050828203935,342.6909287719882
OFF REB (29),236.53751778181228,275.1332575092162,202.73731993706176,390.74280698543504
OFF REB (30),262.10605178764973,283.8820810276198,222.4762422659015,289.10134525568105
OFF REB (36),971.4870912032544,267.370435291408,991.066578792329,376.7511245550916
OFF REB (37),826.6035445365301,378.59943192343735,993.2173394514734,251.95099535676383
OFF REB (37),888.7996301526489,518.7484366092641,977.8681492663007,304.85146388871453
OFF REB (38),826.6035445365301,378.59943192343735,993.2173394514734,251.95099535676383
OFF REB (38),888.7996301526489,518.7484366092641,977.8681492663007,304.85146388871453
OFF REB (107),884.346041416456,459.7159509089233,758.784640195567,363.3210766231359
OFF REB (107),827.3151340980133,289.49975854761584,1051.268658956838,263.04803684941504
OFF REB (107),1067.5457337718262,233.7300378049229,1042.2172018372144,322.414044857595
OFF REB (107),1051.391653291446,304.77816771935284,,
OFF REB (120),743.7414503912995,439.6005602468854,982.0494950559968,315.335771594505
OFF REB (136),165.75158498312737,353.4924636123854,-114.20245782152134,1770.2753220293507
OFF REB (136),107.2856988169212,974.0287260353851,415.6285800228576,104.28134755733323
OFF REB (138),497.7430833587329,352.850959034639,,
OFF REB (138),182.2203298636464,343.23689850911035,170.15271153793233,369.6222636429153
OFF REB (140),,,208.50070470349655,509.4564969281992
OFF REB (140),252.6902178657123,601.2118371079123,232.44677738494028,176.68556539989015
OFF REB (146),822.0028306342067,449.4792599607407,1007.2090205005312,355.346646117688
OFF REB (163),408.5830936324395,267.67615377773893,213.13023801704915,321.6658946812519
OFF REB (164),365.8292251940748,171.4038837916417,196.082490434922,479.3958597327129
OFF REB (164),186.98534262408535,397.7234031770855,,
OFF REB (166),322.58076206697245,266.9044088102963,257.131288329199,283.1999740807505
OFF REB (166),301.63358454631333,371.3985671001054,179.47113922771754,392.02600119466354
OFF REB (179),430.6615127915545,396.9098852133489,313.9626029285206,402.32050043613344
OFF REB (179),183.06927820607476,402.38190462877634,188.0347187764496,396.9427504778997
OFF REB (184),1033.8972828769286,620.3197861736187,1032.0792244455542,394.3172828908176
OFF REB (187),1019.4541471020192,517.8050661657657,,
OFF REB (187),1032.7203503736637,261.5797724800171,1010.0987866660358,393.62873169418674
OFF REB (187),933.624005389604,555.164837006415,1102.6801483966196,349.20988545276776
OFF REB (188),1019.4541471020192,517.8050661657657,,
OFF REB (188),1032.7203503736637,261.5797724800171,1010.0987866660358,393.62873169418674
OFF REB (188),933.624005389604,555.164837006415,1102.6801483966196,349.20988545276776
OFF REB (194),204.79677125286213,371.9062204487669,196.44515743269235,394.9656356543465
OFF REB (197),1039.0615789323806,398.36574803898105,1027.655405005139,392.30780029126464
OFF REB (197),1028.3285447810456,392.1494236363401,1027.7845705154882,394.0013668751321
OFF REB (198),1039.0615789323806,398.36574803898105,1027.655405005139,392.30780029126464
OFF REB (198),1028.3285447810456,392.1494236363401,1027.7845705154882,394.0013668751321
OFF REB (199),1039.0615789323806,398.36574803898105,1027.655405005139,392.30780029126464
OFF REB (199),1028.3285447810456,392.1494236363401,1027.7845705154882,394.0013668751321
OFF REB (200),1020.6374039063726,274.56918986458584,1042.5386738016891,398.94495270016967
OFF REB (202),282.28390771915053,83.76940798229174,189.7375520856457,396.9286393182927
OFF REB (202),177.34452725082332,76.3735984753828,181.92167105574163,400.5589453608986
OFF REB (203),282.28390771915053,83.76940798229174,189.7375520856457,396.9286393182927
OFF REB (203),177.34452725082332,76.3735984753828,181.92167105574163,400.5589453608986
OFF REB (208),183.23242382586423,405.4554713389732,161.12667090293505,401.7069778438107
OFF REB (245),1010.0097765872308,641.6873222351186,1033.1760292604245,509.0594599434461
OFF REB (245),1039.4721098355883,400.5191610482528,1006.4383356046296,374.2024157454277
OFF REB (245),1036.4662128178331,231.98406934613035,1033.7448686433208,396.4781159105546
OFF REB (246),1010.0097765872308,641.6873222351186,1033.1760292604245,509.0594599434461
OFF REB (246),1039.4721098355883,400.5191610482528,1006.4383356046296,374.2024157454277
OFF REB (246),1036.4662128178331,231.98406934613035,1033.7448686433208,396.4781159105546
OFF REB (254),811.571959887294,360.4476622371333,990.2459413981472,379.9241500211132
OFF REB (258),988.8459847899642,519.4431760534025,963.342865001937,407.52482644357855
OFF REB (260),1082.6813867689625,-47.64630284361736,,
OFF REB (272),206.18937034960032,204.646413628506,188.80423787352865,326.2007477129752
OFF REB (273),206.18937034960032,204.646413628506,188.80423787352865,326.2007477129752
OFF REB (276),,,1092.944811272335,286.3074082692419
OFF REB (276),1091.353884425659,272.80364970067654,1102.739443750656,315.8411826726017
OFF REB (280),,,,
OFF REB (284),187.9377290851395,399.8308527480947,201.664217744919,369.4087603874143
OFF REB (284),196.94890497552427,363.5504801835882,195.9845026959941,395.7057436770432
OFF REB (290),1042.4009439510469,101.41896483039996,1043.092885356116,399.8859484606114
OFF REB (294),,,,
OFF REB (322),,,1092.944811272335,286.3074082692419
OFF REB (322),1091.353884425659,272.80364970067654,1102.739443750656,315.8411826726017
OFF REB (326),,,,
OFF REB (330),187.9377290851395,399.8308527480947,201.664217744919,369.4087603874143
OFF REB (330),196.94890497552427,363.5504801835882,195.9845026959941,395.7057436770432
OFF REB (336),1042.4009439510469,101.41896483039996,1043.092885356116,399.8859484606114
OFF REB (340),,,,
OFF REB (379),442.46897164017,357.4531186149796,194.035216093268,403.4707444805599
OFF REB (384),412.8782905637648,423.1130191669229,202.69121745634584,397.900959078497
OFF REB (617),401.099884578516,331.83563953065254,183.44639876010055,399.7060779993073
OFF REB (1003),905.1855161519168,402.3366278562591,1022.00178732758,390.30337990770255
OFF REB (1024),285.1291775496241,231.33920864226292,206.4260357007138,370.0850441215394
OFF REB (1024),197.42711217261743,366.8806587507526,198.4186874077811,390.09142499990367
OFF REB (1024),200.52997697081108,389.1527231682449,266.1209013850721,280.36371651886225
OFF REB (1025),285.1291775496241,231.33920864226292,206.4260357007138,370.0850441215394
OFF REB (1025),197.42711217261743,366.8806587507526,198.4186874077811,390.09142499990367
OFF REB (1025),200.52997697081108,389.1527231682449,266.1209013850721,280.36371651886225
OFF REB (1036),296.02355890186146,73.56957773169032,179.9026031913642,399.2264866174787
OFF REB (1053),810.501109833366,549.2500535292238,1028.2910405978128,393.84757916394295
OFF REB (1054),810.501109833366,549.2500535292238,1028.2910405978128,393.84757916394295
OFF REB (1056),200.091271165212,392.2504194800224,264.5964627388373,313.09363643376355
OFF REB (1057),306.4893564428896,514.2946977592775,200.54295480515145,271.67572304338364
OFF REB (1057),175.76700612877167,93.22783295368488,192.43959475586755,350.1584583548053
OFF REB (1057),178.16075164138894,321.5683368614147,191.7336257179549,396.4660880170445
OFF REB (1067),,,,
OFF REB (1067),,,,
OFF REB (1067),,,,
OFF REB (1067),,,1185.4095120625288,286.2756687304354
OFF REB (1067),1032.4283340421257,398.9032143497063,1040.0995551364322,400.6440960194591
OFF REB (1067),1036.745223058538,398.9465811891114,1019.818214700756,390.53501051501286
OFF REB (1067),1008.1095276425071,382.103869671332,925.4349153391872,413.03203386910286
OFF REB (1067),921.7526343152958,395.0073447576272,915.0227842351618,351.2676485397644
OFF REB (1067),914.5919977276508,624.598802003402,,
OFF REB (1068),,,,
OFF REB (1068),,,,
OFF REB (1068),,,,
OFF REB (1068),,,1185.4095120625288,286.2756687304354
